time,temperature_2m,relative_humidity_2m,wind_speed_10m,latitude,longitude
2025-04-19T00:00,9.3,88,9.1,52.52,13.419998
2025-04-19T01:00,9.0,88,9.0,52.52,13.419998
2025-04-19T02:00,8.8,85,9.4,52.52,13.419998
2025-04-19T03:00,8.7,84,8.0,52.52,13.419998
2025-04-19T04:00,8.6,88,8.4,52.52,13.419998
2025-04-19T05:00,8.8,83,7.8,52.52,13.419998
2025-04-19T06:00,8.8,84,9.1,52.52,13.419998
2025-04-19T07:00,8.8,82,11.6,52.52,13.419998
2025-04-19T08:00,9.1,80,9.7,52.52,13.419998
2025-04-19T09:00,10.0,78,7.9,52.52,13.419998
2025-04-19T10:00,10.7,75,9.5,52.52,13.419998
2025-04-19T11:00,10.4,70,9.7,52.52,13.419998
2025-04-19T12:00,9.7,83,10.9,52.52,13.419998
2025-04-19T13:00,10.2,77,10.0,52.52,13.419998
2025-04-19T14:00,10.3,75,8.9,52.52,13.419998
2025-04-19T15:00,9.7,77,8.1,52.52,13.419998
2025-04-19T16:00,9.5,79,8.2,52.52,13.419998
2025-04-19T17:00,9.7,74,7.7,52.52,13.419998
2025-04-19T18:00,9.8,81,8.6,52.52,13.419998
2025-04-19T19:00,9.7,80,8.0,52.52,13.419998
2025-04-19T20:00,9.2,83,7.2,52.52,13.419998
2025-04-19T21:00,9.3,84,6.9,52.52,13.419998
2025-04-19T22:00,9.1,83,6.2,52.52,13.419998
2025-04-19T23:00,8.7,87,4.7,52.52,13.419998
2025-04-20T00:00,7.7,91,4.3,52.52,13.419998
2025-04-20T01:00,7.4,93,5.1,52.52,13.419998
2025-04-20T02:00,7.2,94,5.1,52.52,13.419998
2025-04-20T03:00,6.3,97,5.1,52.52,13.419998
2025-04-20T04:00,6.3,96,4.8,52.52,13.419998
2025-04-20T05:00,6.5,95,5.1,52.52,13.419998
2025-04-20T06:00,7.1,89,4.2,52.52,13.419998
2025-04-20T07:00,9.1,80,3.4,52.52,13.419998
2025-04-20T08:00,11.4,70,5.2,52.52,13.419998
2025-04-20T09:00,13.9,60,5.8,52.52,13.419998
